GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:05:06 GMT+02:00 2022,24-Jun-2022 20:05:07.563,-5.79101028077982,37.18931151047145,10.502517700195312,4.098410606384277,98.89186092000455,197.71063232421875,-0.54644299,6.23493195,7.38781691,0.00601357,
Fri Jun 24 20:05:07 GMT+02:00 2022,24-Jun-2022 20:05:08.563,-5.7910414578559015,37.189221261116266,10.596734046936035,4.130230903625488,98.89798300527036,196.3114776611328,-0.38185602,6.38170671,7.77260351,0.03937325,
Fri Jun 24 20:05:08 GMT+02:00 2022,24-Jun-2022 20:05:09.563,-5.791070705313715,37.18913075728408,10.155308723449707,4.00445556640625,98.84708109591156,194.72329711914062,-0.47580451,6.24855995,7.71166611,0.109377,
Fri Jun 24 20:05:09 GMT+02:00 2022,24-Jun-2022 20:05:10.563,-5.791095296008093,37.18904386617244,9.814236640930176,3.9435925483703613,98.59267222229391,192.34115600585938,-1.08322299,6.37753057,7.88514042,0.04006225,
Fri Jun 24 20:05:10 GMT+02:00 2022,24-Jun-2022 20:05:11.564,-5.7911153669946245,37.188958030924944,9.62878131866455,3.8314390182495117,98.34777188114822,190.17562866210938,-0.8985247,6.19130993,8.64685059,0.10694641,
Fri Jun 24 20:05:11 GMT+02:00 2022,24-Jun-2022 20:05:12.563,-5.791133687714052,37.18887588570863,9.157711029052734,3.9088306427001953,98.23111799452454,191.2730712890625,-0.4966436,5.96857214,7.0995841,-0.03416902,
Fri Jun 24 20:05:12 GMT+02:00 2022,24-Jun-2022 20:05:13.563,-5.791150778227681,37.18879850400821,8.359725952148438,3.942915201187134,98.20246170833707,190.13523864746094,0.71695805,6.5998373,7.60049868,0.0477007,
Fri Jun 24 20:05:13 GMT+02:00 2022,24-Jun-2022 20:05:14.564,-5.791167888609898,37.18872703604912,7.864537239074707,3.913297414779663,98.17903156299144,192.7037811279297,0.98986834,5.32680178,7.00271416,-0.07974954,
Fri Jun 24 20:05:14 GMT+02:00 2022,24-Jun-2022 20:05:15.563,-5.791191077238766,37.188661607729735,7.2477803230285645,3.906942844390869,98.1033223439008,198.51953125,-2.78559613,5.83219862,6.68080902,-0.03589499,
Fri Jun 24 20:05:15 GMT+02:00 2022,24-Jun-2022 20:05:16.563,-5.7912207137368465,37.18860319599957,6.64569091796875,4.165113925933838,97.92681621387601,200.21116638183594,-3.34445071,6.46490002,8.17026138,0.09644126,
Fri Jun 24 20:05:16 GMT+02:00 2022,24-Jun-2022 20:05:17.564,-5.791238682286953,37.18854620290376,6.496388912200928,4.093167781829834,97.8727298527956,182.52947998046875,0.42752782,6.55112028,5.84358549,-0.08507216,
Fri Jun 24 20:05:17 GMT+02:00 2022,24-Jun-2022 20:05:18.563,-5.791233693125345,37.18848859169072,7.098224639892578,3.9590017795562744,97.64477495569736,168.4178924560547,0.18299362,7.66110039,6.47550154,0.04171652,
Fri Jun 24 20:05:18 GMT+02:00 2022,24-Jun-2022 20:05:19.564,-5.791226291401941,37.188419067523,8.212740898132324,3.934436798095703,97.61255219671875,175.09043884277344,-1.15687835,7.23759508,6.06179285,-0.01143968,
